symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
RS1,6247_at,0.857,0.524407,-0.652019,-5.5898,-0.0745889,6247,retinoschisin 1
CSDC2,27254_at,0.857,0.5244302,0.651982,-5.5898,0.0677944,27254,"cold shock domain containing C2, RNA binding"
RAB2A,5862_at,0.857,0.5244938,-0.651881,-5.5899,-0.1358222,5862,"RAB2A, member RAS oncogene family"
NKD2,85409_at,0.857,0.524517,-0.651844,-5.5899,-0.4871278,85409,naked cuticle homolog 2 (Drosophila)
ESRG,790952_at,0.857,0.5245469,0.651796,-5.5899,0.0721056,790952,embryonic stem cell related (non-protein coding)
CRYBA4,1413_at,0.858,0.5249213,0.651199,-5.5903,0.0637389,1413,"crystallin, beta A4"
YWHAZ,7534_at,0.858,0.5249551,-0.651146,-5.5903,-0.1508889,7534,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
ARPC1B,10095_at,0.858,0.5250767,-0.650952,-5.5904,-0.137,10095,"actin related protein 2/3 complex, subunit 1B, 41kDa"
AANAT,15_at,0.858,0.5250792,-0.650948,-5.5904,-0.0579889,15,aralkylamine N-acetyltransferase
SLC35F5,80255_at,0.858,0.5251652,-0.650811,-5.5905,-0.3404778,80255,"solute carrier family 35, member F5"
SCML2,10389_at,0.858,0.5251678,-0.650807,-5.5905,-0.2944944,10389,sex comb on midleg-like 2 (Drosophila)
ANP32A,8125_at,0.858,0.5251811,0.650786,-5.5905,0.1455,8125,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
uncharacterized LOC100507254,100507254_at,0.858,0.5251832,0.650782,-5.5905,0.1788333,100507254,uncharacterized LOC100507254
FOXN3-AS2,29018_at,0.858,0.5252563,-0.650666,-5.5906,-0.0797944,29018,PRO1768
CCL16,6360_at,0.858,0.525319,0.650566,-5.5907,0.0837222,6360,chemokine (C-C motif) ligand 16
YIPF6,286451_at,0.858,0.5253656,-0.650492,-5.5907,-0.1930389,286451,"Yip1 domain family, member 6"
KRTAP4-3,85290_at,0.858,0.5254733,-0.65032,-5.5908,-0.0783,85290,keratin associated protein 4-3
C6orf226,441150_at,0.858,0.5254914,0.650291,-5.5908,0.2051389,441150,chromosome 6 open reading frame 226
VENTXP1,139538_at,0.858,0.5255018,-0.650275,-5.5908,-0.0825611,139538,VENT homeobox pseudogene 1
EVA1C,59271_at,0.858,0.5255043,-0.650271,-5.5908,-0.60555,59271,chromosome 21 open reading frame 63
MX2,4600_at,0.858,0.525705,-0.649951,-5.591,-0.3619389,4600,myxovirus (influenza virus) resistance 2 (mouse)
FAM3A,60343_at,0.858,0.5257069,-0.649948,-5.591,-0.2377333,60343,"family with sequence similarity 3, member A"
SESN1,27244_at,0.858,0.5258545,-0.649713,-5.5912,-0.2637056,27244,sestrin 1
TMEM60,85025_at,0.858,0.5258613,-0.649702,-5.5912,-0.1859444,85025,transmembrane protein 60
TRMT10A,93587_at,0.858,0.5258885,-0.649659,-5.5912,-0.2387667,93587,RNA (guanine-9-) methyltransferase domain containing 2
NENF,29937_at,0.858,0.5259057,0.649632,-5.5912,0.1124722,29937,neudesin neurotrophic factor
UNC79,57578_at,0.858,0.5259478,-0.649565,-5.5913,-0.0997333,57578,unc-79 homolog (C. elegans)
DRAXIN,374946_at,0.858,0.525948,0.649564,-5.5913,0.3295944,374946,chromosome 1 open reading frame 187
SLC38A3,10991_at,0.858,0.5259741,0.649523,-5.5913,0.1025333,10991,"solute carrier family 38, member 3"
IL4R,3566_at,0.858,0.5260049,-0.649474,-5.5913,-0.2315722,3566,interleukin 4 receptor
MC4R,4160_at,0.858,0.5260528,0.649398,-5.5914,0.0763778,4160,melanocortin 4 receptor
ATXN7L3B,552889_at,0.858,0.5260839,-0.649348,-5.5914,-0.1180167,552889,ataxin 7-like 3B
ZNF180,7733_at,0.858,0.526117,0.649295,-5.5914,0.1715056,7733,zinc finger protein 180
MRE11,4361_at,0.858,0.5261687,0.649213,-5.5915,0.1547778,4361,MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
TCP11,6954_at,0.858,0.5262274,-0.64912,-5.5916,-0.0764611,6954,t-complex 11 homolog (mouse)
MARVELD1,83742_at,0.858,0.5262814,0.649034,-5.5916,0.2578778,83742,MARVEL domain containing 1
DOCK4-AS1,100506413_at,0.858,0.5263017,-0.649002,-5.5916,-0.0514333,100506413,uncharacterized LOC100506413
KLHDC4,54758_at,0.858,0.5263188,-0.648974,-5.5916,-0.2758111,54758,kelch domain containing 4
ARMC3,219681_at,0.858,0.5263286,-0.648959,-5.5917,-0.0776833,219681,armadillo repeat containing 3
STOM,2040_at,0.858,0.5263536,0.648919,-5.5917,0.6387944,2040,stomatin
DPH2,1802_at,0.858,0.5263548,0.648917,-5.5917,0.1820667,1802,DPH2 homolog (S. cerevisiae)
SMARCA2,6595_at,0.858,0.5264028,-0.648841,-5.5917,-0.4373667,6595,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
NELFA,7469_at,0.858,0.52643,0.648797,-5.5917,0.1296556,7469,Wolf-Hirschhorn syndrome candidate 2
ZNF90,7643_at,0.858,0.5265383,0.648625,-5.5919,0.0700222,7643,zinc finger protein 90
CST6,1474_at,0.858,0.5265384,0.648625,-5.5919,0.5272389,1474,cystatin E/M
uncharacterized LOC100131496,100131496_at,0.858,0.5265962,0.648533,-5.5919,0.0634833,100131496,uncharacterized LOC100131496
uncharacterized LOC100506577,100506577_at,0.858,0.5266893,-0.648385,-5.592,-0.0659444,100506577,uncharacterized LOC100506577
C4orf3,401152_at,0.858,0.5268687,0.6481,-5.5922,0.2434611,401152,chromosome 4 open reading frame 3
LYAR,55646_at,0.858,0.526878,0.648085,-5.5922,0.2116167,55646,Ly1 antibody reactive homolog (mouse)
SEC14-like 1 pseudogene,729799_at,0.858,0.5269023,0.648046,-5.5922,0.2465222,729799,SEC14-like 1 pseudogene
AGXT2,64902_at,0.858,0.5269866,-0.647912,-5.5923,-0.0694167,64902,alanine--glyoxylate aminotransferase 2
PDE11A,50940_at,0.858,0.5270615,-0.647793,-5.5924,-0.0564167,50940,phosphodiesterase 11A
NEB,4703_at,0.858,0.5271077,-0.64772,-5.5924,-0.5256667,4703,nebulin
AHI1-DT,100131814_at,0.858,0.5271874,-0.647593,-5.5925,-0.0711944,100131814,long intergenic non-protein coding RNA 271
FAM167A,83648_at,0.858,0.5272387,0.647511,-5.5925,0.3891389,83648,"family with sequence similarity 167, member A"
LRRC74B,400891_at,0.858,0.5273799,0.647287,-5.5927,0.0667111,400891,chromosome 14 open reading frame 166B pseudogene
TMEM105,284186_at,0.858,0.5273845,-0.64728,-5.5927,-0.1069111,284186,transmembrane protein 105
LAMC1,3915_at,0.858,0.5275136,0.647075,-5.5928,0.2993167,3915,"laminin, gamma 1 (formerly LAMB2)"
MYO1F,4542_at,0.859,0.5276633,-0.646837,-5.5929,-0.1359611,4542,myosin IF
PZP,5858_at,0.859,0.5277371,-0.646719,-5.593,-0.0947222,5858,pregnancy-zone protein
SKIL,6498_at,0.859,0.5278652,0.646516,-5.5931,0.1655444,6498,SKI-like oncogene
B3GNT5,84002_at,0.859,0.5280082,-0.646289,-5.5933,-0.4333778,84002,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
ERMAP,114625_at,0.859,0.528134,-0.646089,-5.5934,-0.1537,114625,erythroblast membrane-associated protein (Scianna blood group)
uncharacterized LOC728052,728052_at,0.859,0.528414,0.645644,-5.5937,0.1647778,728052,uncharacterized LOC728052
ANKRD31,256006_at,0.859,0.5284836,-0.645534,-5.5937,-0.0752056,256006,ankyrin repeat domain 31
LINC01281,286442_at,0.859,0.5285004,0.645507,-5.5938,0.0702944,286442,uncharacterized LOC286442
EGR2,1959_at,0.859,0.5286362,0.645292,-5.5939,0.2096111,1959,early growth response 2
SEC31B,25956_at,0.859,0.5286367,0.645291,-5.5939,0.1621778,25956,SEC31 homolog B (S. cerevisiae)
uncharacterized LOC100507235,100507235_at,0.859,0.5286891,-0.645208,-5.5939,-0.1911889,100507235,uncharacterized LOC100507235
RELCH,57614_at,0.859,0.5287716,-0.645077,-5.594,-0.1544444,57614,KIAA1468
SPSB3,90864_at,0.859,0.5287901,-0.645048,-5.594,-0.1799778,90864,splA/ryanodine receptor domain and SOCS box containing 3
CCL25,6370_at,0.859,0.5288214,0.644998,-5.5941,0.0850111,6370,chemokine (C-C motif) ligand 25
SRSF1,6426_at,0.859,0.52886,0.644937,-5.5941,0.1540556,6426,serine/arginine-rich splicing factor 1
SF3B5,83443_at,0.859,0.5288909,-0.644888,-5.5941,-0.1429444,83443,"splicing factor 3b, subunit 5, 10kDa"
GPR26,2849_at,0.859,0.5290215,-0.64468,-5.5943,-0.0554111,2849,G protein-coupled receptor 26
CDC37L1,55664_at,0.859,0.5290437,-0.644645,-5.5943,-0.3351611,55664,cell division cycle 37 homolog (S. cerevisiae)-like 1
ADAM22,53616_at,0.859,0.5290584,-0.644622,-5.5943,-0.1574611,53616,ADAM metallopeptidase domain 22
ERP27,121506_at,0.859,0.5290787,-0.64459,-5.5943,-0.7278611,121506,endoplasmic reticulum protein 27
PCDHA2,56146_at,0.859,0.5291189,-0.644526,-5.5943,-0.0840611,56146,protocadherin alpha 2
FCER2,2208_at,0.859,0.5292352,-0.644341,-5.5945,-0.0706222,2208,"Fc fragment of IgE, low affinity II, receptor for (CD23)"
NIPSNAP3A,25934_at,0.859,0.529237,-0.644339,-5.5945,-0.3248889,25934,nipsnap homolog 3A (C. elegans)
TAP2,6891_at,0.86,0.5293514,-0.644157,-5.5946,-0.1956,6891,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
CRLF3,51379_at,0.86,0.5294437,0.644011,-5.5947,0.1669722,51379,cytokine receptor-like factor 3
KIR2DL3,3804_at,0.86,0.5295186,0.643892,-5.5947,0.2075667,3804,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
ARHGEF19,128272_at,0.86,0.5296074,0.643751,-5.5948,0.3652278,128272,Rho guanine nucleotide exchange factor (GEF) 19
uncharacterized LOC148696,148696_at,0.86,0.5297549,0.643517,-5.595,0.0758278,148696,uncharacterized LOC148696
RAB37,326624_at,0.86,0.5298342,-0.643392,-5.595,-0.1449833,326624,"RAB37, member RAS oncogene family"
NDUFAF3,25915_at,0.86,0.5298388,0.643384,-5.595,0.2315333,25915,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3"
SCUBE1,80274_at,0.86,0.5298445,0.643375,-5.595,0.0662389,80274,"signal peptide, CUB domain, EGF-like 1"
DGCR11,25786_at,0.86,0.5298696,0.643335,-5.5951,0.1337111,25786,DiGeorge syndrome critical region gene 11
CHRNG,1146_at,0.86,0.5300193,0.643098,-5.5952,0.0680889,1146,"cholinergic receptor, nicotinic, gamma"
POLR3G,10622_at,0.86,0.5300346,-0.643074,-5.5952,-0.4831167,10622,polymerase (RNA) III (DNA directed) polypeptide G (32kD)
TNFAIP8,25816_at,0.86,0.5300382,-0.643068,-5.5952,-0.2940556,25816,"tumor necrosis factor, alpha-induced protein 8"
CPNE4,131034_at,0.86,0.5301368,-0.642912,-5.5953,-0.4121278,131034,copine IV
BPTF,2186_at,0.86,0.5301452,0.642899,-5.5953,0.1278389,2186,bromodomain PHD finger transcription factor
SLC16A2,6567_at,0.86,0.5301818,0.642841,-5.5954,0.4411444,6567,"solute carrier family 16, member 2 (monocarboxylic acid transporter 8)"
KLHL15,80311_at,0.86,0.5302068,0.642801,-5.5954,0.2392889,80311,kelch-like 15 (Drosophila)
CARD18,59082_at,0.86,0.5302116,-0.642793,-5.5954,-0.0642444,59082,"caspase recruitment domain family, member 18"
C9orf72,203228_at,0.86,0.5302482,-0.642736,-5.5954,-0.1887889,203228,chromosome 9 open reading frame 72
NRL,4901_at,0.86,0.5303252,-0.642614,-5.5955,-0.0720167,4901,neural retina leucine zipper
SPN,6693_at,0.86,0.5303403,0.64259,-5.5955,0.1690111,6693,sialophorin
ENOSF1,55556_at,0.86,0.5303703,-0.642542,-5.5956,-0.3108833,55556,enolase superfamily member 1
GMEB2,26205_at,0.86,0.5303813,-0.642525,-5.5956,-0.1611222,26205,glucocorticoid modulatory element binding protein 2
CASC2,255082_at,0.86,0.5304165,-0.642469,-5.5956,-0.0762444,255082,cancer susceptibility candidate 2 (non-protein coding)
COX18,285521_at,0.86,0.5304844,-0.642361,-5.5957,-0.1843167,285521,COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)
INTS3,65123_at,0.86,0.530517,0.64231,-5.5957,0.1470111,65123,integrator complex subunit 3
CFAP251,144406_at,0.86,0.5305243,0.642298,-5.5957,0.0905,144406,WD repeat domain 66
CCDC153,283152_at,0.86,0.5306532,0.642094,-5.5958,0.1493278,283152,coiled-coil domain containing 153
CDC42,998_at,0.86,0.5307821,0.64189,-5.5959,0.17475,998,"cell division cycle 42 (GTP binding protein, 25kDa)"
RSPRY1,89970_at,0.86,0.5308798,0.641735,-5.596,0.1455278,89970,ring finger and SPRY domain containing 1
ANKAR,150709_at,0.86,0.5309191,-0.641673,-5.5961,-0.0553944,150709,ankyrin and armadillo repeat containing
RAD23A,5886_at,0.86,0.5310892,0.641404,-5.5962,0.1164389,5886,RAD23 homolog A (S. cerevisiae)
MTMR8,55613_at,0.86,0.5311053,-0.641378,-5.5963,-0.07415,55613,myotubularin related protein 8
p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene,646214_at,0.86,0.5311313,0.641337,-5.5963,0.1141778,646214,p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene
uncharacterized LOC286083,286083_at,0.86,0.5311493,-0.641309,-5.5963,-0.0603611,286083,uncharacterized LOC286083
CENPC,1060_at,0.86,0.5312868,-0.641091,-5.5964,-0.1927389,1060,centromere protein C 1
ARHGAP6,395_at,0.86,0.5313024,-0.641066,-5.5964,-0.1372722,395,Rho GTPase activating protein 6
ATPAF2,91647_at,0.86,0.5313626,0.640971,-5.5965,0.1368167,91647,ATP synthase mitochondrial F1 complex assembly factor 2
RTEL1,51750_at,0.86,0.5313978,0.640915,-5.5965,0.1350111,51750,regulator of telomere elongation helicase 1
SYNJ2BP,55333_at,0.86,0.5314158,0.640887,-5.5966,0.163,55333,synaptojanin 2 binding protein
RNASEH1-DT,100506054_at,0.86,0.5314364,-0.640854,-5.5966,-0.2454722,100506054,uncharacterized LOC100506054
ASCL1,429_at,0.86,0.5314503,0.640832,-5.5966,0.07995,429,achaete-scute complex homolog 1 (Drosophila)
MRPS22,56945_at,0.86,0.5314555,0.640824,-5.5966,0.1680444,56945,mitochondrial ribosomal protein S22
POLR1B,84172_at,0.86,0.5315807,-0.640626,-5.5967,-0.1604778,84172,"polymerase (RNA) I polypeptide B, 128kDa"
uncharacterized LOC100652917,100652917_at,0.86,0.5316561,-0.640507,-5.5968,-0.0830833,100652917,uncharacterized LOC100652917
chromosome 9 open reading frame 38,29044_at,0.86,0.5316627,0.640496,-5.5968,0.1788833,29044,chromosome 9 open reading frame 38
FXYD5,53827_at,0.86,0.531673,-0.64048,-5.5968,-0.59645,53827,FXYD domain containing ion transport regulator 5
CRNN,49860_at,0.86,0.5316757,-0.640476,-5.5968,-0.0671222,49860,cornulin
ATP6V1C1,528_at,0.86,0.5317019,0.640434,-5.5968,0.2040278,528,"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
UGGT1,56886_at,0.86,0.5317032,0.640432,-5.5968,0.1012833,56886,UDP-glucose glycoprotein glucosyltransferase 1
CLCF1,23529_at,0.86,0.5317765,-0.640316,-5.5969,-0.2532778,23529,cardiotrophin-like cytokine factor 1
DSCAM-AS1,100506492_at,0.86,0.5318311,0.64023,-5.5969,0.0828778,100506492,DSCAM antisense RNA 1 (non-protein coding)
DAPP1,27071_at,0.86,0.5318624,-0.64018,-5.597,-0.2607944,27071,dual adaptor of phosphotyrosine and 3-phosphoinositides
KIF11,3832_at,0.86,0.5318962,-0.640127,-5.597,-0.2818389,3832,kinesin family member 11
NAF1,92345_at,0.86,0.5319006,-0.64012,-5.597,-0.2703833,92345,nuclear assembly factor 1 homolog (S. cerevisiae)
ARSG,22901_at,0.86,0.5319149,0.640097,-5.597,0.3334611,22901,arylsulfatase G
NEK2,4751_at,0.86,0.5321926,-0.639658,-5.5973,-0.1559556,4751,NIMA (never in mitosis gene a)-related kinase 2
PRPSAP2,5636_at,0.86,0.5322967,0.639493,-5.5974,0.1769,5636,phosphoribosyl pyrophosphate synthetase-associated protein 2
GID4,79018_at,0.86,0.5323511,-0.639407,-5.5974,-0.1765389,79018,chromosome 17 open reading frame 39
SPINK5,11005_at,0.86,0.5324966,-0.639177,-5.5976,-0.2782167,11005,"serine peptidase inhibitor, Kazal type 5"
METAP1,23173_at,0.86,0.5325854,-0.639037,-5.5977,-0.1704389,23173,methionyl aminopeptidase 1
FPR3,2359_at,0.86,0.5326027,-0.63901,-5.5977,-0.1091111,2359,formyl peptide receptor 3
MAX,4149_at,0.86,0.532627,-0.638971,-5.5977,-0.1403778,4149,MYC associated factor X
IFI27L1,122509_at,0.86,0.5326748,0.638896,-5.5978,0.1800944,122509,"interferon, alpha-inducible protein 27-like 1"
MASTL,84930_at,0.86,0.5326793,-0.638889,-5.5978,-0.1721889,84930,microtubule associated serine/threonine kinase-like
SCEL,8796_at,0.86,0.5327665,-0.638751,-5.5978,-0.4291944,8796,sciellin
OR51I1,390063_at,0.86,0.5328236,0.63866,-5.5979,0.1856278,390063,"olfactory receptor, family 51, subfamily I, member 1"
chromosome 10 open reading frame 136,414260_at,0.86,0.5328751,-0.638579,-5.5979,-0.0959778,414260,chromosome 10 open reading frame 136
RIPPLY2,134701_at,0.86,0.5329315,0.63849,-5.598,0.0710611,134701,ripply2 homolog (zebrafish)
uncharacterized LOC338758,338758_at,0.86,0.5329543,-0.638454,-5.598,-0.3349167,338758,uncharacterized LOC338758
LINC01704,646268_at,0.86,0.5331258,0.638183,-5.5982,0.0553944,646268,hCG1654703
immunoglobulin heavy variable 3-7,28452_at,0.86,0.5331263,0.638182,-5.5982,0.0832389,28452,immunoglobulin heavy variable 3-7
uncharacterized LOC100287216,100287216_at,0.86,0.5331955,-0.638073,-5.5982,-0.0957833,100287216,uncharacterized LOC100287216
SMIM43,132332_at,0.86,0.533202,-0.638063,-5.5983,-0.0674667,132332,transmembrane protein 155
CCDC7,79741_at,0.86,0.5332163,-0.63804,-5.5983,-0.0913722,79741,chromosome 10 open reading frame 68
PTGDS,5730_at,0.86,0.5332326,0.638014,-5.5983,0.1477778,5730,prostaglandin D2 synthase 21kDa (brain)
Rho GTPase activating protein 27 pseudogene,146880_at,0.86,0.5332602,-0.637971,-5.5983,-0.1405389,146880,Rho GTPase activating protein 27 pseudogene
RANBP9,10048_at,0.86,0.5333044,0.637901,-5.5983,0.2056111,10048,RAN binding protein 9
SCART1,619207_at,0.86,0.5333657,-0.637804,-5.5984,-0.0796556,619207,scavenger receptor protein family member
RNF17,56163_at,0.86,0.533414,-0.637728,-5.5985,-0.0684333,56163,ring finger protein 17
SLC5A5,6528_at,0.86,0.5334188,-0.63772,-5.5985,-0.0821778,6528,"solute carrier family 5 (sodium iodide symporter), member 5"
HTR5A,3361_at,0.86,0.5334885,-0.63761,-5.5985,-0.0685444,3361,5-hydroxytryptamine (serotonin) receptor 5A
ADAMTSL5,339366_at,0.86,0.5335951,0.637442,-5.5986,0.0702389,339366,ADAMTS-like 5
LINC01734,339568_at,0.861,0.5337612,0.63718,-5.5988,0.0571444,339568,uncharacterized LOC339568
PFKFB3,5209_at,0.861,0.5337771,-0.637155,-5.5988,-0.2158611,5209,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
LRRTM2,26045_at,0.861,0.5337971,-0.637123,-5.5988,-0.0994444,26045,leucine rich repeat transmembrane neuronal 2
SENP1,29843_at,0.861,0.5339818,0.636832,-5.599,0.1106167,29843,SUMO1/sentrin specific peptidase 1
BCAP31,10134_at,0.861,0.534012,-0.636784,-5.599,-0.1577778,10134,B-cell receptor-associated protein 31
PLAC8,51316_at,0.861,0.5341203,-0.636613,-5.5991,-0.9485444,51316,placenta-specific 8
TMEM268,203197_at,0.861,0.5341368,0.636587,-5.5991,0.3156722,203197,chromosome 9 open reading frame 91
DCHS1,8642_at,0.861,0.5342013,-0.636485,-5.5992,-0.1392389,8642,dachsous 1 (Drosophila)
PTGER3,5733_at,0.861,0.5342568,0.636398,-5.5993,0.0712222,5733,prostaglandin E receptor 3 (subtype EP3)
LINC00488,677779_at,0.861,0.5342865,-0.636351,-5.5993,-0.0695167,677779,long intergenic non-protein coding RNA 488
C4orf54,285556_at,0.861,0.5343333,-0.636277,-5.5993,-0.0611778,285556,uncharacterized LOC285556
BPHL,670_at,0.861,0.5343485,0.636253,-5.5993,0.1509056,670,biphenyl hydrolase-like (serine hydrolase)
MCM3,4172_at,0.861,0.5344322,0.636121,-5.5994,0.1824889,4172,minichromosome maintenance complex component 3
ANK1,286_at,0.861,0.5345774,-0.635892,-5.5996,-0.0638833,286,"ankyrin 1, erythrocytic"
NCBP2,22916_at,0.861,0.5347054,0.63569,-5.5997,0.1114556,22916,"nuclear cap binding protein subunit 2, 20kDa"
G2E3,55632_at,0.861,0.5347215,-0.635665,-5.5997,-0.1197444,55632,G2/M-phase specific E3 ubiquitin protein ligase
uncharacterized LOC100652838,100652838_at,0.861,0.5347224,0.635663,-5.5997,0.1113944,100652838,uncharacterized LOC100652838
uncharacterized protein LOC154872,154872_at,0.861,0.5350129,-0.635205,-5.6,-0.0980333,154872,uncharacterized protein LOC154872
WWC1,23286_at,0.861,0.5350196,0.635195,-5.6,0.2001333,23286,WW and C2 domain containing 1
CNGB1,1258_at,0.861,0.5350747,0.635108,-5.6,0.06895,1258,cyclic nucleotide gated channel beta 1
NOP9,161424_at,0.861,0.5350928,0.635079,-5.6,0.1456333,161424,chromosome 14 open reading frame 21
LINC00474,58483_at,0.861,0.5351783,-0.634944,-5.6001,-0.0830167,58483,long intergenic non-protein coding RNA 474
APH1A,51107_at,0.861,0.5351884,-0.634928,-5.6001,-0.1860444,51107,anterior pharynx defective 1 homolog A (C. elegans)
BNIP1,662_at,0.861,0.5352021,0.634907,-5.6001,0.1354889,662,BCL2/adenovirus E1B 19kDa interacting protein 1
RSRC1,51319_at,0.861,0.5352309,-0.634861,-5.6002,-0.1661111,51319,arginine/serine-rich coiled-coil 1
C6orf58,352999_at,0.861,0.5352653,0.634807,-5.6002,0.1649444,352999,chromosome 6 open reading frame 58
ICA1L,130026_at,0.861,0.5353065,0.634742,-5.6002,0.1338389,130026,"islet cell autoantigen 1,69kDa-like"
EDAR,10913_at,0.861,0.5354357,-0.634539,-5.6004,-0.5275611,10913,ectodysplasin A receptor
TOMM40L,84134_at,0.862,0.5356393,0.634218,-5.6006,0.1712611,84134,translocase of outer mitochondrial membrane 40 homolog (yeast)-like
ADCY7,113_at,0.862,0.5356396,-0.634217,-5.6006,-0.2760556,113,adenylate cyclase 7
ZNF837,116412_at,0.862,0.5356853,0.634145,-5.6006,0.0976111,116412,zinc finger protein 837
MRM2,29960_at,0.862,0.5357227,0.634086,-5.6006,0.1923667,29960,FtsJ homolog 2 (E. coli)
GREM1,26585_at,0.862,0.5358263,-0.633923,-5.6007,-0.80485,26585,gremlin 1
PROSER3,148137_at,0.862,0.5359887,-0.633668,-5.6009,-0.0781833,148137,chromosome 19 open reading frame 55
IL22RA2,116379_at,0.862,0.5359908,0.633664,-5.6009,0.0661778,116379,"interleukin 22 receptor, alpha 2"
DUSP18,150290_at,0.862,0.5360758,-0.63353,-5.601,-0.17095,150290,dual specificity phosphatase 18
GFER,2671_at,0.862,0.5361067,0.633482,-5.601,0.1087778,2671,"growth factor, augmenter of liver regeneration"
C10orf55,414236_at,0.862,0.536125,0.633453,-5.601,0.0657278,414236,chromosome 10 open reading frame 55
H2BC9,8345_at,0.862,0.5361277,-0.633449,-5.601,-0.3167722,8345,"histone cluster 1, H2bh"
KLHL24,54800_at,0.862,0.5362407,-0.633271,-5.6011,-0.3203778,54800,kelch-like 24 (Drosophila)
HMGN3-AS1,100288198_at,0.862,0.5362977,-0.633181,-5.6012,-0.1097389,100288198,uncharacterized LOC100288198
KIFC3,3801_at,0.862,0.5363579,0.633086,-5.6012,0.1311,3801,kinesin family member C3
PPP2R5B,5526_at,0.862,0.5364763,0.6329,-5.6013,0.1747,5526,"protein phosphatase 2, regulatory subunit B', beta"
FOXD1,2297_at,0.862,0.5365571,-0.632773,-5.6014,-0.6759333,2297,forkhead box D1
POU4F1,5457_at,0.862,0.5366354,0.632649,-5.6015,0.1293444,5457,POU class 4 homeobox 1
IDUA,3425_at,0.862,0.5366659,-0.632601,-5.6015,-0.1477,3425,"iduronidase, alpha-L-"
EXOC3,11336_at,0.862,0.5368802,0.632264,-5.6017,0.21225,11336,exocyst complex component 3
"olfactory receptor, family 5, subfamily E, member 1 pseudogene",26343_at,0.862,0.5370052,-0.632067,-5.6018,-0.0766278,26343,"olfactory receptor, family 5, subfamily E, member 1 pseudogene"
KDR,3791_at,0.862,0.5370432,-0.632008,-5.6019,-0.0636556,3791,kinase insert domain receptor (a type III receptor tyrosine kinase)
IFNB1,3456_at,0.862,0.5371502,-0.631839,-5.602,-0.0564833,3456,"interferon, beta 1, fibroblast"
C3orf62,375341_at,0.862,0.5372034,-0.631756,-5.602,-0.1693778,375341,chromosome 3 open reading frame 62
KIF12,113220_at,0.862,0.5372169,-0.631735,-5.602,-0.1621889,113220,kinesin family member 12
NAT10,55226_at,0.862,0.5372471,-0.631687,-5.6021,-0.1639722,55226,N-acetyltransferase 10 (GCN5-related)
MSTN,2660_at,0.862,0.5372602,-0.631666,-5.6021,-0.0607722,2660,myostatin
TMEM135,65084_at,0.862,0.5372908,-0.631618,-5.6021,-0.1557778,65084,transmembrane protein 135
MIR1-1HG,128826_at,0.862,0.5373882,0.631465,-5.6022,0.0653111,128826,chromosome 20 open reading frame 166
LTB,4050_at,0.862,0.5373984,0.631449,-5.6022,0.1245333,4050,"lymphotoxin beta (TNF superfamily, member 3)"
KLK12,43849_at,0.862,0.5374661,-0.631343,-5.6023,-0.2293167,43849,kallikrein-related peptidase 12
LELP1,149018_at,0.862,0.5376553,-0.631045,-5.6024,-0.0725056,149018,late cornified envelope-like proline-rich 1
BIN1,274_at,0.862,0.5376956,-0.630982,-5.6025,-0.38055,274,bridging integrator 1
uncharacterized LOC100507579,100507579_at,0.862,0.5377073,-0.630963,-5.6025,-0.0718,100507579,uncharacterized LOC100507579
HCCS,3052_at,0.862,0.537708,0.630962,-5.6025,0.1818167,3052,holocytochrome c synthase
AKAP17A,8227_at,0.862,0.537717,-0.630948,-5.6025,-0.1908944,8227,A kinase (PRKA) anchor protein 17A
BCORL1,63035_at,0.862,0.537718,0.630946,-5.6025,0.0730444,63035,BCL6 corepressor-like 1
GCM1,8521_at,0.862,0.537756,0.630887,-5.6025,0.1318056,8521,glial cells missing homolog 1 (Drosophila)
EXOC3L2,90332_at,0.862,0.5378461,-0.630745,-5.6026,-0.0807889,90332,exocyst complex component 3-like 2
FFAR2,2867_at,0.862,0.5378515,-0.630737,-5.6026,-0.2159556,2867,free fatty acid receptor 2
MMP13,4322_at,0.862,0.5378699,0.630708,-5.6026,0.0746611,4322,matrix metallopeptidase 13 (collagenase 3)
PCDH11Y,83259_at,0.862,0.5378797,-0.630692,-5.6027,-0.0813833,83259,protocadherin 11 Y-linked
NUDT9,53343_at,0.862,0.5379367,0.630603,-5.6027,0.1476667,53343,nudix (nucleoside diphosphate linked moiety X)-type motif 9
NME8,51314_at,0.862,0.5380178,0.630475,-5.6028,0.1137667,51314,thioredoxin domain containing 3 (spermatozoa)
